date;debit_fin_de_journee;source;pits
2015-05-14;51.1326;Storengy;Saline
2015-05-17;41.1066;Storengy;Saline
2015-05-24;24.0624;Storengy;Saline
2015-05-26;25.065;Storengy;Saline
2015-05-27;24.0624;Storengy;Saline
2015-05-28;25.065;Storengy;Saline
2015-05-29;23.0598;Storengy;Saline
2015-06-09;24.0624;Storengy;Saline
2015-06-11;23.0598;Storengy;Saline
2015-06-14;24.0624;Storengy;Saline
2015-06-25;22.0572;Storengy;Saline
2015-06-30;15.039;Storengy;Saline
2015-07-04;14.0364;Storengy;Saline
2015-07-13;18.0468;Storengy;Saline
2015-07-14;34.0884;Storengy;Saline
2015-07-20;12.0312;Storengy;Saline
2015-07-25;14.0364;Storengy;Saline
2015-07-26;19.0494;Storengy;Saline
2015-08-04;40.104;Storengy;Saline
2015-08-14;27.0702;Storengy;Saline
2015-08-23;38.0988;Storengy;Saline
2015-08-26;15.039;Storengy;Saline
2015-08-28;0.0;Storengy;Saline
2015-09-03;21.0546;Storengy;Saline
2015-09-13;15.039;Storengy;Saline
2015-09-18;33.0858;Storengy;Saline
2015-09-20;34.0884;Storengy;Saline
2015-09-24;8.0208;Storengy;Saline
2015-09-28;-18.0468;Storengy;Saline
2015-10-07;7.0182;Storengy;Saline
2015-10-10;0.0;Storengy;Saline
2015-11-06;-7.0182;Storengy;Saline
2015-11-08;8.0208;Storengy;Saline
2015-11-14;5.013;Storengy;Saline
2015-11-30;-65.169;Storengy;Saline
2015-12-08;12.0312;Storengy;Saline
2015-12-12;-20.052;Storengy;Saline
2015-12-14;-47.1222;Storengy;Saline
2015-12-15;-28.0728;Storengy;Saline
2016-01-11;5.013;Storengy;Saline
2016-01-18;-76.1976;Storengy;Saline
2016-01-19;-57.1482;Storengy;Saline
2016-02-01;-6.0156;Storengy;Saline
2016-02-12;-8.0208;Storengy;Saline
2016-02-14;-21.0546;Storengy;Saline
2016-02-22;-9.0234;Storengy;Saline
2016-02-24;-33.0858;Storengy;Saline
2016-02-27;-13.0338;Storengy;Saline
2016-03-03;-94.2444;Storengy;Saline
2016-03-10;-89.2314;Storengy;Saline
2016-03-14;-19.0494;Storengy;Saline
2016-03-29;-130.338;Storengy;Saline
2016-04-06;28.0728;Storengy;Saline
